idCliente;nombre;direccion;email;nombreDeUsuario;contrasena
340;Melodie Parker;Ap #9197 Vehicula St;ac.nulla@idbt.ne;foo;bar
349;Wang Duncan;P.O. Box 115;ac@dicnd.c;Olivia;ligula
294;Germaine Curry;Ap #2248 Aenean Road;ante.lectus@an.net;Eagan;gravida
266;Hamilton Moore;6052 Est, Av.;blandit.Nam@In.org;Galena;pede
268;Miranda Austin;P.O. Box 904;cursus.diam@Se.net;Breanna;mi,
323;Dylan Schmidt;P.O. Box 813;dictum@frico.u;Wendy;non,
338;Isaac Floyd;396 Mauris Rd.;dis@anter.c;Kathleen;eu
272;Freya Pugh;P.O. Box 462;Duis@vu.com;Bruce;nec
317;Raya Crane;937-3150 Duis Rd.;egestas@noo.ca;Troy;ultrices,
290;Prescott Gamble;8040 Donec St.;elementum@Alo.uk;Inez;Nullam
271;Allen Hurst;5195 Dui Avenue;enim@quara.c;Sigourney;cursus
313;Signe Randolph;Ap #7967 Metus St.;erat.eget@tels.ed;Dale;non
339;Baxter Terrell;7923 Arcu. Street;et.magna@pl.com;Kasper;ac
275;Patricia Kirby;422-2916 Arcu. St.;et@vole.co;Jermaine;Nam
328;Brynn Fleming;348-4508 Enim. St.;eu.odio@lo.edu;Alexis;natoque
254;Nevada Webb;849-9474 Nulla Av.;felis.orci@ul.org;Vincent;leo.
283;Kenneth Albert;Ap #1755 Ac St.;hendrerit@trico.u;Tamekah;dictum
257;Regina Miller;933 Massa St.;iaculis@id.net;Fletcher;eu
251;Armando Cabrera;Ap #5458 Ultrices Rd;ipsum@leoco.u;Walter;velit.
260;Maia Pollard;7328 Lorem Street;ipsum@rids.ne;Upton;eget
286;Jarrod Richmond;9307 Turpis St.;justo@adia.or;Freya;interdum.
330;Abraham Navarro;P.O. Box 921;lectus@dis.ca;Murphy;Quisque
311;Merrill Carlson;Ap #3520 Fermentum A;libero@dolus.c;Cally;Phasellus
267;Timothy Cohen;495-6337 Dui. Ave;lorem@alo.uk;Keegan;eget,
334;Bevis Henson;409-4461 Nam Avenue;mi.felis@sodt.or;Yetta;lorem,
291;Delilah Hunter;P.O. Box 994;Morbi.non@pe.org;Jermaine;tempus
343;Jaden Best;5106 Nec St.;nec.luctus@riss.ne;Miriam;eu,
277;Lacey Wall;P.O. Box 464;neque@Nu.org;Tyler;Duis
329;Beatrice Duffy;P.O. Box 130;nibh.enim@las.ca;Felicia;mi
308;Thaddeus Morin;Ap #2921 Consectetue;non@dicin.c;Tiger;accumsan
297;Eve Cameron;4363 Ante Rd.;Nullam@Pho.uk;Serena;lobortis,
337;Kirk Higgins;Ap #141 Sit Rd.;nunc@acm.ca;Geoffrey;rutrum,
296;Lila Rutledge;147-2551 Eros. St.;pede.nec@semt.co;Hedley;posuere
270;Christen Chen;Ap #9324 Odio Av.;pede.nec@sodn.or;Ferdinand;aliquet
303;Kylie Mcfarland;390-2713 Eu Rd.;purus@ligm.or;Drew;lectus
327;Hop Conley;Ap #3903 Sapien. St.;quam@impIn.c;Nigel;vulputate,
344;Freya Pate;3915 Amet Road;sed.libero@se.edu;Wilma;turpis
